;; SKK dictionary filtered by BCCWJ frequency data
;;
;; Filtered for Commander X16 Japanese editor
;; Selection based on BCCWJ corpus frequency rankings
;;
;; okuri-ari entries.
みまもr /見守/
どうk /道/
みとおs /見透/見通/
すべr /滑/総/統/辷/
のぞまs /望/
くみあわs /組み合/組合/
ほどこs /施/
うたがi /疑/
めでたi /目出度/
ぬg /脱/
たいs /体/対/帯/大/
しりあi /知り合/知合/
かずおおk /数多/
ほほえm /微笑/頬笑/
すばやi /素早/
ふとr /太/肥/
もちこm /持ち込/持込/
たちまt /忽/
ほうt /放/抛/
ほうc /放/抛/
ひろu /拾/
ねむi /眠/
まくr /捲/
ばr /晴/張/貼/
ひきだs /引き出/引出/
はやm /早/速/
すe /据/吸/饐/
つめr /抓/
たn /他/給/賜/足/
くだs /下/降/
ゆらi /揺/
きざm /刻/
だt /立/断/
まn /間/
こm /込/篭/籠/混/濃/
たかs /高/
かさなr /重/
おいかけr /追い掛/
いとなm /営/
すn /拗/住/済/擦/澄/棲/刷/剃/摩/栖/摺/磨/擂/
はなしかけr /話し掛/話掛/
あやs /怪/妖/異/
まずi /不味/
かわk /乾/渇/
ねらi /狙/
とりつけr /取り付/取付/
およg /泳/游/
まがr /曲/迂/
うるさi /五月蝿/煩/
ふせi /防/伏/拒/禦/
かせg /稼/
ぎんz /吟/
とびこm /飛び込/飛込/
けむr /煙/
かなd /奏/
てつだu /手伝/
めs /召/
あg /上/挙/揚/擧/騰/
こおr /凍/氷/
おn /折/居/織/
きy /来/着/
へe /経/歴/
さしだs /差し出/差出/
すまi /住/
あb /浴/
やぶr /敗/破/
ぼs /乾/干/
しずm /沈/静/鎮/
まちがえr /間違/
こころみr /試/
しらb /調/
さg /下/提/
よs /寄/縦/良/止/善/好/佳/
しょt /背負/
しょc /背負/
だまs /騙/
いわi /祝/斎/
ふくらm /脹/膨/
うu /得/
しきt /敷/仕切/頻/
しきc /仕切/頻/
はまr /填/嵌/
えi /得/獲/
ましt /況/
もうしたt /申し立/申立/
はばひろi /幅広/
としよr /年寄/
ゆずr /譲/
くやs /悔/口惜/
てらs /照/
まずしi /貧/
まずs /貧/乏/不味/
つかi /使/遣/
みがk /磨/研/
ふi /吹/噴/拭/葺/
おもいつk /思い付/思付/
おおむn /概/
あいs /愛/相/
みこm /見込/
ほうk /惚/
からm /絡/搦/辛/
えm /笑/得/獲/
もらs /洩/漏/
ひとしi /均/斉/等/
ひとs /等/一/均/斉/
かりいr /借り入/刈り入/刈入/借入/
なぐr /殴/撲/
ほこr /誇/
たどりつk /辿り着/辿着/
かたづけr /片付/
かたn /語/過多/騙/
まきこm /巻き込/巻込/捲き込/捲込/
あらそi /争/
まとm /纏/
たおs /倒/
さわg /騒/
くばr /配/
きh /気/来/着/
ふるu /奮/揮/振/震/篩/
とばs /飛/
まにあu /間に合/
はだk /開/
うk /受/浮/承/請/得/憂/
あらs /荒/粗/
こわs /壊/毀/強/怖/恐/
ふれあi /触れ合/触合/
こころがけr /心掛/
ひきずr /引き摺/
ぐu /食/
もm /揉/
つぶs /潰/
たけd /猛/
そうろu /候/
はれr /晴/
ふs /付/賦/附/伏/臥/
きずつけr /傷付/疵付/
せめt /責/
もりあがr /盛り上/盛上/
てつだi /手伝/
ぬすm /盗/
とりこm /取り込/取り篭/取り籠/取篭/取籠/取込/
せおu /背負/
とりけs /取り消/取消/
しまi /仕舞/
そi /添/沿/削/殺/
ひきいr /引き入/引入/率/
しまt /仕舞/
ひょうg /剽/
わざt /態/
のりこm /乗り込/乗込/
のみこm /飲み込/呑み込/飲込/
あやまr /誤/謝/
とりあつかu /取り扱/取扱/
はいりこm /入り込/入込/
もc /盛/洩/漏/
なかよk /仲良/
こうg /神/
よごr /汚/
なづけr /名付/
にあu /似合/
ふりむk /振り向/振向/
えb /得/獲/
こもr /篭/籠/隠/
みy /見/診/観/視/看/
かけi /掛/
よみがえr /蘇/甦/
さいわi /幸/
ならs /鳴/慣/均/馴/
いだi /抱/懐/
おとなs /大人/
かすr /掠/
しらs /報/
ひめi /秘/
ととのu /整/調/
ふりこm /振り込/降り篭/降り込/降込/振込/
あさi /浅/
めんj /免/
ささやk /囁/
ふさi /塞/鬱/
あずかr /与/預/
げんn /現/厳/
かたまr /固/
けずr /削/梳/
いささk /些/聊/
ほうr /放/抛/
なじm /馴染/
ちr /散/
とりのぞk /取り除/取除/
けんz /献/
けんj /献/
かきこm /書き込/掻込/書込/掻き込/
よみとr /読み取/読取/
くずs /崩/
よt /寄/酔/選/撚/依/因/縁/拠/択/由/縒/
よc /寄/酔/選/撚/依/因/縁/拠/択/由/縒/
きたなi /汚/穢/
りs /利/
きg /気/着/
おしe /教/
おちこm /落ち込/落込/
はm /填/嵌/食/
なのr /名乗/
おびr /帯/
きっs /喫/
みまわs /見回/見廻/
あせr /焦/
はなしあi /話し合/話合/
おもいこm /思い込/思込/
つらぬk /貫/
くるu /狂/
はなb /華/
ならu /習/倣/
さかのぼr /遡/溯/
のりこえr /乗り越/乗越/
あゆm /歩/
こころm /試/心/
すずしi /涼/
すずs /涼/
とげr /研/遂/
あらそu /争/
とりまk /取り巻/取巻/
きいろi /黄色/
ふるk /古/旧/故/
ひg /日/乾/干/簸/
はやs /囃/早/速/
ささげr /捧/
すいs /推/粋/
めいs /瞑/冥/
すs /酸/
えいz /映/詠/
うらぎr /裏切/
ゆびさs /指差/
きずつk /傷付/疵付/傷/
わりびk /割り引/割引/
へb /経/歴/
みのがs /見逃/
のぞきこm /覗き込/覗込/
やとu /雇/傭/
にげだs /逃げ出/逃出/
のりだs /乗り出/乗出/
しs /死/資/視/
むすびつけr /結付/結び付/
もっぱr /専/
けr /蹴/蹶/
ひきつg /引き継/引継/
なでr /撫/
さばk /裁/捌/
ひやs /冷/
ひっかかr /引っ掛/
おうz /応/
おうj /応/
きよs /清/寄与/
ひきとr /引き取/引取/
みおくr /見送/
よびだs /呼び出/呼出/
しばr /縛/
いやs /卑/賎/癒/嫌/厭/
ねg /寝/祈/
やせi /痩/瘠/
おもc /思/想/重/
もちだs /持ち出/持出/
たちどまr /立ち止/
みつd /密/
どなr /怒鳴/
めざめr /目覚/目醒/
げんz /減/現/
げんj /減/
いじm /苛/虐/
けいs /刑/啓/慶/敬/
はてr /果/
しけi /時化/湿気/
にらm /睨/
そd /素/
ゆu /言/謂/云/結/
からs /辛/
かけつけr /駆け付/駆付/
まっすg /真っ直/真直/
たすk /助/救/扶/輔/
しかけr /仕掛/
みはr /見張/見晴/
いd /居/射/鋳/
さとr /悟/覚/聰/
おとr /劣/
すえr /据/
けt /蹴/蹶/
へa /経/歴/
しりあu /知り合/知合/
ひっこs /引っ越/引越/
うけつg /受け継/受継/
しあg /仕上/
はやr /流行/逸/早/
ぶi /拭/吹/葺/
せんs /宣/撰/僭/
ちからづよi /力強/
たたm /畳/
とぼしi /乏/
とぼs /乏/
まさしk /正/
まさs /正/
ころがr /転/
ひょうs /表/評/
おいつk /追い付/追付/
つきr /尽/
おぎなu /補/
ひさi /鬻/
はu /這/
ふりかe /振り替/振替/
したしm /親/
べr /減/
ゆだねr /委/
とおりすぎr /通り過/通過/
おいこm /追い込/老込/追込/老い込/
うちこm /撃ち込/打ち込/打込/
わかt /分/別/判/解/
しめきr /締め切/締切/閉め切/
はやk /早/速/
そこなu /損/
さしこm /差し込/射し込/
まぬがれr /免/
きたえr /鍛/
いんs /印/淫/因/飲/
こうt /梱/
こうc /梱/
かねt /予/兼/
くみこm /組み込/組込/汲み込/汲込/
まj /交/混/雑/
あてはまr /当て嵌/
みまi /見舞/
したまわr /下回/下廻/
ひえr /冷/
だきしめr /抱き締/抱締/
しきr /頻/仕切/
ちかu /誓/
あこがr /憧/憬/
